"Category","Business Impact","Recommendation","Subscription ID","Subscription Name","Resource Group","Resource Name","Type","Updated Date","Potential benefits","Potential Annual Cost Savings","Potential Cost Savings Currency"
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdshbp4","Virtual machine","2025-06-30T05:18:02.5593091Z","Guaranteed compute capacity in constrained region or zone.","",""
"Reliability","High","Ensure backend pools contain at least two instances","27968616-adf3-45ac-9277-2750fe1d896f","DsiADC01 (27968616-adf3-45ac-9277-2750fe1d896f)","fortiadc-rg","svffortiadclb01","Load balancer","2025-06-30T05:00:03.4268469Z","Enhanced reliability and scalability","",""
"Security","Low","Auditing on SQL server should be enabled","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpose","svpose","SQL server","2025-06-30T05:07:02.0307067Z","Prevent potential security breaches","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpbimatch","vwpbimatched02","Virtual machine","2025-06-30T05:09:36.7283695Z","Guaranteed compute capacity in constrained region or zone.","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpibefehuy","lxpibefehuy1754","Network interface","2025-06-30T04:58:02.6751428Z","Secure and explicit outbound access for new subnets.","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","9c9cb071-ac7c-45be-8105-4f4eb5f8e672","CspAcc01 (9c9cb071-ac7c-45be-8105-4f4eb5f8e672)","rgahr4fpr","lxahrapr1","Virtual machine","2025-06-30T05:02:12.6239750Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgpdc","vwpazdcn01","Virtual machine","2025-06-30T05:11:11.6661184Z","Guaranteed compute capacity in constrained region or zone.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpbimatch","vwpbimatchmd01","Virtual machine","2025-06-29T22:57:54.9458229Z","Enhanced resilience to platform faults and updates.","",""
"Reliability","High","Use Azure Disks with Zone Redundant Storage (ZRS) for higher resiliency and availability","cbf821af-139f-472b-bd9f-bd9e7c82395c","DsiAcc01 (cbf821af-139f-472b-bd9f-bd9e7c82395c)","rgaldap","lxaldap1.azure.forem.be_osdisk","Disk","2025-06-30T09:59:55.2887590Z","By designing your applications to use ZRS Disks, your data is replicated across 3 Availability Zones, making your disk resilient to a zonal outage","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpntp1.azure.forem.be","Virtual machine","2025-06-29T22:58:16.5985941Z","Enhanced resilience to platform faults and updates.","",""
"Reliability","High","Use Azure Disks with Zone Redundant Storage (ZRS) for higher resiliency and availability","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns1a.dmz.azure.forem.be_osdisk","Disk","2025-06-29T14:09:06.8763464Z","By designing your applications to use ZRS Disks, your data is replicated across 3 Availability Zones, making your disk resilient to a zonal outage","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpbimatch","vwpbimatched02-nic0","Network interface","2025-06-30T04:58:02.6751428Z","Secure and explicit outbound access for new subnets.","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdsh29","Virtual machine","2025-06-30T05:00:05.3913540Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpntp2.azure.forem.be","Virtual machine","2025-06-30T04:58:52.0885251Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgppcaleforembe","lxrzhttp1.dmz.azure.forem.be_nic","Network interface","2025-06-30T05:04:04.8224664Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","f7c221a0-aa12-4c93-a43e-e9bb09d9104b","CspDev01 (f7c221a0-aa12-4c93-a43e-e9bb09d9104b)","rgdelise","vwdelisemx00","Virtual machine","2025-06-29T22:57:30.3718098Z","Enhanced resilience to platform faults and updates.","",""
"Security","Medium","Virtual machines and virtual machine scale sets should have encryption at host enabled","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgppcaleforembe","lxrzphp1.dmz.azure.forem.be","Virtual machine","2025-06-30T05:23:44.8318084Z","Prevent potential security breaches","",""
"Reliability","High","Use Availability zones for better resiliency and availability","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxplog2.azure.forem.be","Virtual machine","2025-06-30T06:04:37.9486867Z","Usage of zonal VMs protect your apps from zonal outage in any other zones.","",""
"Reliability","High","Use Azure Disks with Zone Redundant Storage (ZRS) for higher resiliency and availability","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgppcaleforembe","lxrsmzmariadb1.azure.forem.be_osdisk","Disk","2025-06-29T12:07:52.7635511Z","By designing your applications to use ZRS Disks, your data is replicated across 3 Availability Zones, making your disk resilient to a zonal outage","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpidm3.azure.forem.be497_z1","Network interface","2025-06-30T04:58:33.7963138Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpibefehuy","lxpibefehuy1","Virtual machine","2025-06-29T22:57:54.9458229Z","Enhanced resilience to platform faults and updates.","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgppcaleforembe","lxrsmzmariadb1.azure.forem.be_nic","Network interface","2025-06-30T05:00:23.4229367Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","High","Enable zone redundancy for storage accounts to improve high availability and resiliency","8d6d19d2-d4f8-4542-9421-d59f4257ccc5","DsiDev01 (8d6d19d2-d4f8-4542-9421-d59f4257ccc5)","rgdarchivage","svdarchivage","Storage Account","2025-06-29T10:18:27.5588351Z","Achieve higher availability for the application.","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpbimatch","vwpbimatchmd01-nic0","Network interface","2025-06-30T04:58:02.6701453Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","Medium","Migrate to Virtual Machine Scale Sets Flex","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdsh50","Virtual machine","2025-06-29T22:56:03.4968610Z","Availability across zones or across different fault domains.","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpidm3.azure.forem.be","Virtual machine","2025-06-30T04:58:52.0885251Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","8d6d19d2-d4f8-4542-9421-d59f4257ccc5","DsiDev01 (8d6d19d2-d4f8-4542-9421-d59f4257ccc5)","fad-rg","lxdmoodle01","Virtual machine","2025-06-30T05:00:40.9082993Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpidm2.redhat.azure.forem.be","Virtual machine","2025-06-30T04:58:52.0885251Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Reliability","Medium","Migrate to Virtual Machine Scale Sets Flex","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdshbp6","Virtual machine","2025-06-29T22:56:03.3718524Z","Availability across zones or across different fault domains.","",""
"Reliability","High","Ensure backend pools contain at least two instances","27968616-adf3-45ac-9277-2750fe1d896f","DsiADC01 (27968616-adf3-45ac-9277-2750fe1d896f)","fortiadc-rg","svpzfortiadclb01","Load balancer","2025-06-30T05:00:03.4268469Z","Enhanced reliability and scalability","",""
"Reliability","High","Use Azure Disks with Zone Redundant Storage (ZRS) for higher resiliency and availability","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","core-rg","azwpdcn00_osdisk","Disk","2025-06-30T10:02:33.4218620Z","By designing your applications to use ZRS Disks, your data is replicated across 3 Availability Zones, making your disk resilient to a zonal outage","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpbimatch","vwpbimatched01","Virtual machine","2025-06-30T05:09:36.7233681Z","Guaranteed compute capacity in constrained region or zone.","",""
"Reliability","Medium","Use NAT gateway for outbound connectivity","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","infra-network-rg","dmz-vnet","Virtual network","2025-06-30T05:15:00.4540684Z","Prevent outbound connection failures with NAT gateway","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","27968616-adf3-45ac-9277-2750fe1d896f","DsiADC01 (27968616-adf3-45ac-9277-2750fe1d896f)","fortiadc-rg","fortiadcprd02-vip-formnic","Network interface","2025-06-30T05:04:44.3295611Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","High","Use Availability zones for better resiliency and availability","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgppcaleforembe","lxrzhttp1.dmz.azure.forem.be","Virtual machine","2025-06-30T05:54:23.9691396Z","Usage of zonal VMs protect your apps from zonal outage in any other zones.","",""
"Reliability","High","Create an Azure Service Health alert","9f9fed7e-a0d8-4b8e-898d-3ddc967b8959","DsiStandAlone01 (9f9fed7e-a0d8-4b8e-898d-3ddc967b8959)","No resource group","9f9fed7e-a0d8-4b8e-898d-3ddc967b8959","Subscription","2025-06-30T06:44:24.8039794Z","Get alerts on service, security, and health issues","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdsh33","Virtual machine","2025-06-30T05:00:05.2763522Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxplog1.azure.forem.be","Virtual machine","2025-06-29T22:58:16.5985941Z","Enhanced resilience to platform faults and updates.","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","27968616-adf3-45ac-9277-2750fe1d896f","DsiADC01 (27968616-adf3-45ac-9277-2750fe1d896f)","fortiadc-rg","fortiadcprd02-vip-accdnic","Network interface","2025-06-30T05:04:44.3295611Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpbimatch","vwpbimatched02","Virtual machine","2025-06-29T22:57:54.9458229Z","Enhanced resilience to platform faults and updates.","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgplinuxcore","lxpzdns2r.dmz.azure.forem.be_nic","Network interface","2025-06-30T05:04:04.8224664Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","f7c221a0-aa12-4c93-a43e-e9bb09d9104b","CspDev01 (f7c221a0-aa12-4c93-a43e-e9bb09d9104b)","rgdelise","vwdelisemx00","Virtual machine","2025-06-30T05:12:51.6119577Z","Guaranteed compute capacity in constrained region or zone.","",""
"Security","High","Machines should be configured to periodically check for missing system updates","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgppcaleforembe","lxrzhttp2.dmz.azure.forem.be","Virtual machine","2025-06-29T23:50:25.3324754Z","Prevent potential security breaches","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpsmtp2.azure.forem.be","Virtual machine","2025-06-30T05:11:11.6661184Z","Guaranteed compute capacity in constrained region or zone.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","infra-network-rg","fortigateb","Virtual machine","2025-06-30T05:11:11.6661184Z","Guaranteed compute capacity in constrained region or zone.","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpidm2.redhat.azure.forem.be343_z1","Network interface","2025-06-30T04:58:33.7963138Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxplog2.azure.forem.be","Virtual machine","2025-06-29T22:58:16.6635988Z","Enhanced resilience to platform faults and updates.","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpbimatch","vwpbimatched01-nic0","Network interface","2025-06-30T04:58:02.6751428Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","8d6d19d2-d4f8-4542-9421-d59f4257ccc5","DsiDev01 (8d6d19d2-d4f8-4542-9421-d59f4257ccc5)","infra-network-rg","lxpptst1.azure.forem.be","Virtual machine","2025-06-30T05:12:19.5652408Z","Guaranteed compute capacity in constrained region or zone.","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","8d6d19d2-d4f8-4542-9421-d59f4257ccc5","DsiDev01 (8d6d19d2-d4f8-4542-9421-d59f4257ccc5)","infra-network-rg","lxpptst1.azure.forem.be_nic","Network interface","2025-06-30T05:04:28.3494119Z","Secure and explicit outbound access for new subnets.","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgppcaleforembe","lxrsmzmariadb1.azure.forem.be","Virtual machine","2025-06-30T05:00:05.2813532Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Security","Low","Subscriptions should have a contact email address for security issues","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","No resource group","05509e54-c22d-42ec-ae15-948a48340383","Subscription","2025-06-30T05:08:52.4742059Z","Prevent potential security breaches","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpibefehuy","lxpibefehuy1","Virtual machine","2025-06-30T05:09:36.7283695Z","Guaranteed compute capacity in constrained region or zone.","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","8d6d19d2-d4f8-4542-9421-d59f4257ccc5","DsiDev01 (8d6d19d2-d4f8-4542-9421-d59f4257ccc5)","rgdwvd","vwdawvdsh0","Virtual machine","2025-06-30T05:00:40.9082993Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","39b847ee-38c1-4871-97bc-b815e2e56539","CspProd01 (39b847ee-38c1-4871-97bc-b815e2e56539)","rgpoutilsddi","lxpsonarqube1.azure.forem.be","Virtual machine","2025-06-29T22:57:54.9458229Z","Enhanced resilience to platform faults and updates.","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpntp1.azure.forem.be","Virtual machine","2025-06-30T04:58:52.0835286Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Reliability","High","Use Availability zones for better resiliency and availability","9c9cb071-ac7c-45be-8105-4f4eb5f8e672","CspAcc01 (9c9cb071-ac7c-45be-8105-4f4eb5f8e672)","rgaatlassian","lxajira1.azure.forem.be","Virtual machine","2025-06-30T05:07:24.5511652Z","Usage of zonal VMs protect your apps from zonal outage in any other zones.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpidm2.redhat.azure.forem.be","Virtual machine","2025-06-29T22:58:16.5985941Z","Enhanced resilience to platform faults and updates.","",""
"Reliability","High","Ensure Geo-replication is enabled for resilience","cbf821af-139f-472b-bd9f-bd9e7c82395c","DsiAcc01 (cbf821af-139f-472b-bd9f-bd9e7c82395c)","No resource group","cbf821af-139f-472b-bd9f-bd9e7c82395c","Container registry","2025-06-30T05:07:08.7462093Z","Improved resilience and pull performance, simplified registry management and reduced data transfer costs","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","9c9cb071-ac7c-45be-8105-4f4eb5f8e672","CspAcc01 (9c9cb071-ac7c-45be-8105-4f4eb5f8e672)","rgaatlassian","lxaconfluence1.azure.forem.be_nic","Network interface","2025-06-30T05:05:08.4155883Z","Secure and explicit outbound access for new subnets.","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdsh17nic0","Network interface","2025-06-30T05:00:23.4229367Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","High","Enable zone redundancy for storage accounts to improve high availability and resiliency","cbf821af-139f-472b-bd9f-bd9e7c82395c","DsiAcc01 (cbf821af-139f-472b-bd9f-bd9e7c82395c)","rgabigdata-databricks","dbstorageu32ti4entkr5g","Storage Account","2025-06-30T09:49:12.8017386Z","Achieve higher availability for the application.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxplog1.azure.forem.be","Virtual machine","2025-06-30T05:11:11.6661184Z","Guaranteed compute capacity in constrained region or zone.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxplog2.azure.forem.be","Virtual machine","2025-06-30T05:11:11.6661184Z","Guaranteed compute capacity in constrained region or zone.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","core-rg","azwpcmdp00","Virtual machine","2025-06-29T22:58:16.5985941Z","Enhanced resilience to platform faults and updates.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpidm3.azure.forem.be","Virtual machine","2025-06-29T22:58:16.5985941Z","Enhanced resilience to platform faults and updates.","",""
"Reliability","High","Use Azure Disks with Zone Redundant Storage (ZRS) for higher resiliency and availability","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","core-rg","azwpdcn01_osdisk","Disk","2025-06-30T10:02:33.4218620Z","By designing your applications to use ZRS Disks, your data is replicated across 3 Availability Zones, making your disk resilient to a zonal outage","",""
"Reliability","High","Fix application code, a worker process crashed due to an unhandled exception","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpscepman","svpscepman","App service","2025-06-29T10:24:39.2752477Z","Keep your app healthy and highly available","",""
"Operational excellence","Medium","Add explicit outbound method to disable default outbound","be5ce746-52ca-483a-9c9b-782111a94978","DsiProd01 (be5ce746-52ca-483a-9c9b-782111a94978)","rgpwvd","vwpwvdsh31nic0","Network interface","2025-06-30T05:00:23.4229367Z","Secure and explicit outbound access for new subnets.","",""
"Reliability","High","Use Azure Capacity Reservation for virtual machine (VM)","c704e378-20de-426d-af3d-6ef10c3545f0","DsiTier0 (c704e378-20de-426d-af3d-6ef10c3545f0)","rgplinuxcore","lxpidm1.redhat.azure.forem.be","Virtual machine","2025-06-30T05:11:11.7061177Z","Guaranteed compute capacity in constrained region or zone.","",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzmoodlefad1.dmz.azure.forem.be","Virtual machine","2025-06-30T05:00:12.6154744Z","Boosting lower-level security posture for Gen2 VMs, by protecting against rootkits.","",""
"Reliability","Medium","Migrate workload to Virtual Machine Scale Sets Flex","27968616-adf3-45ac-9277-2750fe1d896f","DsiADC01 (27968616-adf3-45ac-9277-2750fe1d896f)","fortiadc-rg","fortiadcprd01","Virtual machine","2025-06-29T22:57:52.3853175Z","Enhanced resilience to platform faults and updates.","",""
"Security","High","Machines should be configured to periodically check for missing system updates","05509e54-c22d-42ec-ae15-948a48340383","DsiDmz01 (05509e54-c22d-42ec-ae15-948a48340383)","rgpmoodlefad","lxpzmoodlefad1.dmz.azure.forem.be","Virtual machine","2025-06-29T23:50:25.3324754Z","Prevent potential security breaches","",""
